Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","4488 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016pncmp_qf4m1,98,98,,,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,48,20,18,10,0,4,2,-2,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,1,E_LowBar,2,10,1,0,None,Challenged,Challenged,0,0,0,blue
2016pncmp_qf4m2,113,93,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,58,25,18,15,0,4,2,-3,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,5,2,1,Challenged,Challenged,Challenged,20,0,0,blue
2016pncmp_qm107,115,115,1,,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,60,25,25,10,0,5,3,8,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,15,0,0,Challenged,None,Challenged,0,0,0,red
2016pncmp_qm12,100,100,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,65,25,25,15,0,5,3,2,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016pncmp_qm124,118,118,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,83,25,33,10,15,4,5,-2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Scaled,Challenged,0,0,0,red
2016pncmp_qm31,113,113,1,1,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,86,40,31,15,0,8,3,0,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,2,0,Challenged,Challenged,Challenged,0,0,0,red
2016pncmp_qm4,101,101,1,1,22,20,2,0,0,0,Reached,Reached,Crossed,Crossed,79,30,34,15,0,2,6,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016pncmp_qm43,58,58,,,22,20,2,0,0,0,Crossed,Reached,Crossed,Crossed,36,25,6,5,0,3,0,3,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,1,E_LowBar,2,0,0,0,Challenged,None,Unknown,0,0,0,red
2016pncmp_qm54,112,112,1,1,22,20,2,0,0,0,Reached,Reached,Crossed,Crossed,90,30,45,15,0,5,7,8,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,1,Challenged,Challenged,Challenged,0,0,0,blue
2016pncmp_qm59,112,112,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,77,35,27,15,0,6,3,-1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016pncmp_qm69,128,128,1,1,32,20,2,10,1,0,Crossed,Reached,Crossed,Crossed,96,30,41,10,15,3,7,-2,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016pncmp_qm81,109,109,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,74,25,39,10,0,2,7,7,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,1,0,None,Challenged,Challenged,0,0,0,red
2016pncmp_qm89,106,106,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,71,35,21,15,0,8,1,-1,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,1,1,Challenged,Challenged,Challenged,0,0,0,blue
2016pncmp_qm99,140,140,1,1,40,20,0,20,2,0,None,Crossed,Crossed,None,100,30,45,10,15,0,9,0,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,0,0,Scaled,Challenged,Challenged,0,0,0,blue
2016orwil_f1m1,115,95,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,65,25,30,10,0,5,4,8,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,None,20,0,0,red
2016orwil_f1m2,113,93,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,58,25,8,10,15,4,0,3,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Challenged,Scaled,20,0,0,red
2016orwil_f1m3,153,108,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,78,35,18,10,15,9,0,-1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Scaled,20,25,0,red
2016orwil_qf1m1,124,104,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,74,25,24,10,15,2,4,7,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Scaled,20,0,0,red
2016orwil_qf1m2,133,113,1,,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,93,30,33,0,30,9,3,6,A_Portcullis,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,None,Scaled,Scaled,20,0,0,red
2016orwil_qm11,70,70,1,,10,10,0,0,0,0,Crossed,Crossed,None,None,40,35,0,5,0,0,0,7,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,20,1,0,Unknown,Challenged,Unknown,0,0,0,blue
2016orwil_qm18,55,55,,,10,10,0,0,0,0,Crossed,Crossed,None,None,35,15,20,0,0,0,4,6,A_Portcullis,2,B_Moat,0,C_Drawbridge,0,D_RockWall,0,E_LowBar,2,10,0,0,Unknown,Unknown,Unknown,0,0,0,red
2016orwil_qm24,95,95,1,,10,10,0,0,0,0,Crossed,None,Crossed,None,85,40,30,15,0,0,6,6,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016orwil_qm29,89,89,1,,14,10,4,0,0,0,Reached,Reached,Crossed,Reached,65,35,20,10,0,0,4,9,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,10,1,0,Challenged,Challenged,None,0,0,0,red
2016orwil_qm35,92,92,1,,12,10,2,0,0,0,Reached,Crossed,None,Reached,80,45,25,10,0,0,5,8,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,0,0,0,blue
2016orwil_qm4,55,55,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,35,30,0,5,0,0,0,8,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,1,None,Challenged,Unknown,0,0,0,red
2016orwil_qm42,80,80,1,,20,20,0,0,0,0,Crossed,None,Crossed,Crossed,60,30,20,10,0,0,4,6,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,1,Challenged,Challenged,Unknown,0,0,0,blue
2016orwil_qm46,107,107,1,1,12,10,2,0,0,0,Reached,Reached,Crossed,None,90,35,40,15,0,0,8,7,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016orwil_qm49,115,115,1,1,20,20,0,0,0,0,Crossed,None,Crossed,Crossed,95,30,50,15,0,0,10,7,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,blue
2016orwil_qm60,73,73,1,,22,20,2,0,0,0,Crossed,Crossed,Reached,Crossed,51,30,11,10,0,3,1,6,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,None,Challenged,Challenged,0,0,0,red
2016orwil_qm63,72,72,1,,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,45,35,0,10,0,0,0,8,A_ChevalDeFrise,1,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,None,0,0,0,blue
2016orwil_qm69,83,83,1,,12,10,2,0,0,0,Reached,Crossed,None,Reached,66,40,11,15,0,3,1,4,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,5,2,0,Challenged,Challenged,Challenged,0,0,0,blue
2016orwil_sf1m1,156,111,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,81,25,31,10,15,8,3,3,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Scaled,Challenged,Challenged,20,25,0,red
2016orwil_sf1m2,155,110,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,75,25,25,10,15,5,3,3,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Scaled,Challenged,Challenged,20,25,0,red
2016orphi_qf3m1,104,84,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,54,25,19,10,0,7,1,1,A_ChevalDeFrise,0,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,20,0,0,red
2016orphi_qf3m2,172,127,1,1,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,82,25,32,10,15,6,4,1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Scaled,Challenged,20,25,0,red
2016orphi_qf3m3,130,110,1,,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,65,25,20,5,15,5,2,2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,None,Scaled,Challenged,20,0,0,red
2016orphi_qm14,127,127,1,,32,20,2,10,1,0,Crossed,Reached,Crossed,Crossed,85,40,35,10,0,5,5,5,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,10,1,1,Challenged,Challenged,Unknown,0,0,0,red
2016orphi_qm18,85,85,1,,30,20,0,10,1,0,Crossed,Crossed,None,Crossed,55,30,15,10,0,5,1,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,2,0,Unknown,Challenged,Challenged,0,0,0,blue
2016orphi_qm25,79,79,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,49,25,14,10,0,2,2,2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Unknown,0,0,0,red
2016orphi_qm29,85,85,1,,20,20,0,0,0,0,Crossed,None,Crossed,Crossed,60,35,10,15,0,5,0,-1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Challenged,Challenged,0,0,0,red
2016orphi_qm3,52,52,1,,2,0,2,0,0,0,None,None,Reached,None,50,40,5,5,0,0,1,7,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,0,E_LowBar,2,0,0,0,Unknown,Challenged,None,0,0,0,red
2016orphi_qm32,74,74,1,,12,10,2,0,0,0,None,Reached,Crossed,None,62,40,12,10,0,1,2,7,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Unknown,Challenged,0,0,0,red
2016orphi_qm37,123,123,1,1,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,83,25,33,10,15,9,3,6,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016orphi_qm42,93,93,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,58,25,23,10,0,4,3,8,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,5,0,0,Challenged,None,Challenged,0,0,0,red
2016orphi_qm46,112,112,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,82,30,37,15,0,1,7,7,A_Portcullis,2,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016orphi_qm54,129,129,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,94,25,54,15,0,2,10,7,A_Portcullis,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016orphi_qm60,118,118,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,88,35,28,10,15,4,4,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Scaled,0,0,0,blue
2016orphi_qm7,100,100,1,,30,20,0,10,1,0,Crossed,Crossed,None,Crossed,70,40,15,15,0,0,3,5,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,blue
2016orphi_sf2m1,0,-45,1,1,20,20,0,0,0,0,None,Crossed,None,Crossed,67,30,22,15,0,6,2,1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,10,0,0,Challenged,Challenged,Challenged,20,25,-142,red
2016orphi_sf2m2,109,89,1,,20,20,0,0,0,0,Crossed,None,Crossed,Crossed,64,40,14,10,0,7,0,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,3,0,Challenged,Challenged,None,20,0,0,red
